parcel_number,street_number,street_name,notify_date,notify,status,latitude,longitude
038 319903303,2610,62ND AVE,,Y,Incomplete Evaluation - Unclaimed,37.770135181940226,-122.1874983229864
010 077801400,438,STATEN AVE,9/2/10,Y,Done - Level 2 Required  ,37.80930552682208,-122.25342690066749
010 078002402,415,LAGUNITAS AVE,9/7/10,Y,Done - Level 2 Required  ,37.80966564809376,-122.25060960494996
026 081004600,3186,MCKILLOP RD,,Y,Incomplete Evaluation,37.79760311466807,-122.22028429198912
023 048101800,1285,MACARTHUR BLVD,10/7/10,Y,Level 1 - missing data ,37.80231969195057,-122.23192019638158
028 090000200,2625,PLEASANT ST,9/21/10,Y,Incomplete Evaluation - Unclaimed,37.796733872714576,-122.21691069765724
,2453,DAMUTH ST Bldg #2,,,Done - Level 1,,
,5351,BELGRAVE PLACE,,,Level 1 - missing data ,,
010 078602101,314,PERKINS ST,8/30/10,Y,Exempt - engineer's letter,37.81233821660214,-122.2550966765936
048F735400301,6533,LUCAS AVE,,Y,Incomplete Evaluation,37.82646615998104,-122.20860067233914
048 562602007,9960,MACARTHUR BLVD,9/21/10,Y,Done - Level 2 Required  ,37.74631725596943,-122.15623274303181
010 079101903,357,VERNON ST,11/9/10,Y,Done - Level 1,37.815676674030406,-122.2559399630575
010 078505000,274,EUCLID AVE,9/13/10,Y,Done - Level 1,37.814871922109944,-122.25286025074863
022 033600100,2530,8TH AVE,9/3/10,Y,Done - Level 1,37.80072456526519,-122.24042516736358
008 063300100,1906,JACKSON ST,9/2/10,Y,Exempt - no large openings,37.80552441331763,-122.26271256518821
035 238900300,5460,BANCROFT AVE,8/31/10,Y,Done - Level 2 Required  ,37.77203062503879,-122.19876021188732
010 079503000,2616,HARRISON ST,8/25/10,Y,Done - Level 2 in process,37.813709182457664,-122.26021836161897
023 046500802,845,MACARTHUR BLVD,,Y,Incomplete Evaluation,37.80624340135511,-122.23952422386196
040A342101001,7868,MACARTHUR BLVD,11/8/10,Y,Done - Level 1,37.76582155676136,-122.16713636179189
010 078600300,325,EUCLID AVE,9/15/10,Y,Done - Level 1,37.81341357666086,-122.25294867539122
022 034002500,2600,IVY DR,10/7/10,Y,Done - Level 2 Required  ,37.801483702255915,-122.24072732086972
039 328001300,6500,FOOTHILL BLVD,10/7/10,Y,Incomplete Evaluation - Unclaimed,37.77080737702721,-122.18299366238764
039 326600903,2697,HAVENSCOURT BLVD,10/14/10,Y,Done - Level 1,37.76904859076587,-122.18280220269136
022 033803601,2511,7TH AVE,9/15/10,Y,Done - Level 2 Required  ,37.801857140994144,-122.24227245825699
036 248300100,5300,WALNUT ST,11/16/10,Y,Done - Level 1,37.77647269453548,-122.19547748098293
023 043300500,722,HILLGIRT CIR,9/27/10,Y,Done - Level 2 Required  ,37.807588443680295,-122.24269542796134
,3020,35TH AVE - West bldg,,,Done - Level 1,,
023 041901904,590,BODEN WAY,,Y,Incomplete Evaluation,37.808081946459716,-122.24715539865873
010 077700900,370,BELMONT ST,8/27/10,Y,Ask for exemption - did not review ,37.81003966937456,-122.25493997442528
023 040101200,2,HOME PL E,8/27/10,Y,Done - Level 2 Required,37.80392860437698,-122.23813411064124
011 083703400,777,RAND AVE,,Y,Incomplete Evaluation,37.812039705184574,-122.24338252171431
010 078901801,350,ADAMS ST,10/7/10,Y,Incomplete Evaluation,37.81459510837952,-122.2551350343301
010 081702400,564,OAKLAND AVE,,Y,Incomplete Evaluation,37.81998267412404,-122.25157510183206
015 135202800,6015,M L KING JR WAY,,Y,Incomplete Evaluation,37.84547899705977,-122.27121300336837
021 022601600,200,WAYNE AVE,9/3/10,Y,Done - Level 1 ,37.801230260973135,-122.25221101450151
014 123301800,427,AVON ST,8/31/10,Y,Incomplete Evaluation,37.83730483590394,-122.25880105910367
027 088401500,3422,ALEXANDER CT,9/28/10,Y,Incomplete Evaluation,37.78365648188319,-122.21871608821394
030 192901701,3865,MAYBELLE AVE,9/7/10,Y,Exempt - less than 5 units,37.791184841143895,-122.19275080677137
012 098704000,109,MONTE CRESTA AVE,10/4/10,Y,Done - Level 2 Required  ,37.82501927792289,-122.24992099094587
022 038001200,3225,BEAUMONT AVE,9/14/10,Y,Done - Level 1,37.800196735753055,-122.22929138749414
010 082602400,400,SANTA CLARA AVE,9/3/10,Y,Done - Level 2 Required,37.81276689590695,-122.24818164107816
010 078502302,520,VAN BUREN AVE,,Y,Incomplete Evaluation,37.811712824662116,-122.250984751016
022 033700400,2501,IVY DR,9/28/10,Y,Incomplete Evaluation,37.80170685224009,-122.24191244240211
022 036702803,2936,14TH AVE,9/29/10,Y,Done - Level 2 Required  ,37.797701976793384,-122.2295704119082
032 209100300,2037,38TH AVE,9/21/10,Y,Done - Level 1,37.781096066902386,-122.21459865213127
027 085501100,3020,BROOKDALE AVE,10/7/10,Y,Level 1 - missing data ,37.79225767997006,-122.21520461098592
021 022402605,166,ATHOL AVE,,Y,Incomplete Evaluation - Unclaimed,37.80071091825225,-122.25257163482013
010 080201100,232,29TH ST,10/14/10,Y,Done - Level 1,37.81679179658072,-122.2592234930999
011 085102800,942,VERMONT ST,8/24/10,Y,Level 1 - missing data,37.81570350931755,-122.24300957815807
010 078500702,281,MACARTHUR BLVD,10/14/10,Y,Done - Level 2 Required  ,37.814716380943054,-122.2521677207547
030 192502700,3814,39TH AVE,8/31/10,Y,Done - Level 1,37.79164868564374,-122.19365627057503
010 077804700,424,STATEN AVE,7/6/11,Y,Incomplete Evaluation,37.809647059729116,-122.25338317367614
010 079500909,287,VERNON ST,,Y,Exempt - Garage In basement,37.81484579306777,-122.25739815925228
009 072401100,854,33RD ST,,Y,Incomplete Evaluation,37.8238792979597,-122.27428583129546
044 498100600,9601,B ST,10/7/10,Y,Exempt - no large openings,37.74401059590413,-122.17519776554488
008 063000100,145,17TH ST,9/1/10,Y,Level 1 - missing data ,37.80389971749852,-122.2622503861861
020 017800301,427,FOOTHILL BLVD,9/27/10,Y,Done - Level 1,37.797238302075556,-122.25265980924131
010 078602400,314,WARWICK AVE,9/14/10,Y,Done - Level 1,37.812681734084094,-122.25457831243267
,1436,36TH AVE,,,Incomplete Evaluation,,
010 079101905,354,ORANGE ST,10/26/10,Y,Done - Level 1,37.81607099430033,-122.25594604212647
008 062800200,185,15TH ST,8/24/10,Y,Exempt - engineer's letter,37.80253098853364,-122.2643009886555
022 030502001,518,E 22ND ST,9/22/10,Y,Done - Level 1,37.80074885938043,-122.24576337939236
032 205201700,2800,VIOLA ST,11/9/10,Y,Done - Level 1,37.78675126347709,-122.20588821476724
010 082200900,472,JEAN ST,8/25/10,Y,Done - Level 1,37.814655095997644,-122.2501017447931
022 034101300,2605,9TH AVE,,Y,Done - Level 2 Required  ,37.80076425699604,-122.23975544056445
021 028902501,1725,E 22ND ST,8/24/10,Y,Done - Level 1,37.79301791368466,-122.23723243243552
046 543300700,1603,92ND AVE,9/22/10,Y,Exempt - no large openings,37.750047393118884,-122.17160224702964
010 078301601,388,STATEN AVE,10/22/10,Y,Level 1 - missing data ,37.81091090328768,-122.253409515318
010 077600400,445,STATEN AVE,11/2/10,Y,Done - Level 1,37.80915711326068,-122.25398428583775
028 091603200,2867,MACARTHUR BLVD,9/29/10,Y,Done - Level 1,37.79808355764502,-122.20721899637182
009 068800801,444,28TH ST,11/22/10,Y,Done - Level 1,37.81695228692865,-122.26647848076558
012 092901100,3921,HARRISON ST,,Y,Incomplete Evaluation,37.82197926980308,-122.25010103091323
011 083700900,743,WARFIELD AVE,11/1/10,Y,Incomplete Evaluation,37.81248493287328,-122.2455348297071
023 041901300,515,MERRITT AVE,10/6/10,Y,Done - Level 1,37.80734167600991,-122.24791778915743
010 078302201,366,STATEN AVE,,Y,Incomplete Evaluation - Unclaimed,37.81167288593281,-122.25374607764964
022 030900700,365,HANOVER AVE,10/8/10,Y,Done - Level 1,37.803221525620245,-122.24973524087419
023 041000600,633,CLEVELAND ST,8/31/10,Y,Level 1 - missing data ,37.80521029708433,-122.24702245726459
010 079602100,262,VERNON ST,8/24/10,Y,Done - Level 2 Required  ,37.81388230936561,-122.25803523378788
023 040102100,676,ALMA AVE,,Y,Incomplete Evaluation,37.8051367538656,-122.23734760333038
048A704100500,6066,MONROE AVE,,Y,Done - Level 1,37.84121664801055,-122.24673098626555
012 101101200,456,40TH ST,9/28/10,Y,Level 1 - missing data,37.82910105117581,-122.26231826196448
010 078700900,347,WARWICK AVE,8/26/10,Y,Exempt - engineer's letter,37.813639266730256,-122.2540158428509
043A464200311,2730,ALVINGROOM CT,,Y,Exempt - less than 5 units,37.760553217448994,-122.16055241572379
027 087300900,3320,DAVIS ST,,Y,Incomplete Evaluation,37.78857882250418,-122.21645585190481
038 318100400,5735,AVENAL AVE,9/14/10,Y,Incomplete Evaluation - Unclaimed,37.771465867859035,-122.1935031146286
041 420301401,1071,81ST AVE,11/8/10,Y,Done - Level 1,37.75376338341307,-122.18482198965296
023 046300100,690,MONTCLAIR AVE,,Y,Incomplete Evaluation,37.80657091059407,-122.24085770829696
010 078500701,275,MACARTHUR BLVD,9/13/10,Y,Level 1 - missing data ,37.81484907994197,-122.25222644590188
027 089601201,2333,HUMBOLDT AVE,,Y,Done - Level 1,37.787821358693435,-122.21487915596566
,3761,HIGH ST,,Y,Done - Level 2 Required  ,,
036 242700900,2423,MONTICELLO AVE,9/15/10,Y,Done - Level 1,37.77755578020741,-122.2011145325547
023 041803000,626,BEACON ST,,Y,Incomplete Evaluation,37.808031719052664,-122.24648170661732
040 339200200,7709,GARFIELD AVE,9/2/10,Y,Exempt - less than 5 units,37.764261288036835,-122.17344196662532
020 013700300,837,E 15TH ST - front house,10/4/10,Y,Done - Level 1,37.79359240717189,-122.25021949472281
032 203108600,3217,LIESE AVE,9/21/10,Y,Done - Level 1,37.78786831709758,-122.2019577859154
010 077000800,240,GRAND AVE,10/20/10,Y,Done - Level 1,37.810208644268414,-122.25941950113132
013 113512800,2005,PLEASANT VALLEY AVE,6/27/11,Y,Done - Level 2 Required  ,37.83358718472822,-122.2513412469839
014 126605900,5920,COLLEGE AVE,11/9/10,Y,Exempt - engineer's letter,37.847623014590404,-122.25184722197028
003 006301300,1605,CLAY ST,,Y,Done - Level 1,37.80684573562094,-122.27291377914467
016 142402203,6408,IRWIN CT,11/2/10,Y,Done - Level 1,37.85040640085982,-122.26109993691614
013 110901000,4223,TERRACE ST,10/29/10,Y,Exempt - no large openings,37.8306973883263,-122.2538132957087
022 035301402,1856,E 25TH ST,10/5/10,Y,Done - Level 1,37.795055551053714,-122.23358327893963
012 098903201,76,LINDA AVE,,Y,Incomplete Evaluation,37.826261497645525,-122.2489955043264
010 078902301,382,ADAMS ST,10/6/10,Y,Done - Level 1 ,37.81498634492778,-122.25426825118561
010 078801201,265,JAYNE AVE,10/29/10,Y,Incomplete Evaluation,37.81309998933594,-122.25686849705994
010 077501700,444,LEE ST,,Y,Incomplete Evaluation - Unclaimed,37.80977841212973,-122.25656707322106
014 121200100,5527,SHATTUCK AVE,10/6/10,Y,Exempt - retrofitted,37.841060781027544,-122.26493166943224
027 085304400,2856,FRUITVALE AVE,8/24/10,Y,Level 1 - missing data ,37.79276282400521,-122.21859188809565
033 212902400,1630,35TH AVE,,Y,Incomplete Evaluation,37.77943415108728,-122.22048256628058
012 099600400,263,41ST ST,8/31/10,Y,Exempt - retrofitted,37.827771420834004,-122.25518854071206
012 099600901,225,41ST ST,,Y,Level 1 - missing data,37.82749176392534,-122.254466758289
010 081400301,3845,HARRISON ST,,Y,Incomplete Evaluation,37.82169404339018,-122.25105697179586
008 063300601,150,17TH ST,,Y,Incomplete Evaluation,37.80450115247669,-122.26254924398471
011 083703200,539,MANDANA BLVD,10/7/10,Y,Done - Level 2 Required  ,37.81220772622472,-122.24366729392156
023 041700102,498,CAPITAL ST,10/7/10,Y,Done - Level 2 Required,37.806706769508,-122.24719472491087
020 021801300,1722,8TH AVE,10/13/10,Y,Level 1 - missing data ,37.7955995665596,-122.2479179580601
030 198015700,3810,REDDING ST,9/13/10,Y,Incomplete Evaluation,37.79125511696417,-122.1992117740598
020 021400100,1756,12TH AVE,8/30/10,Y,Done - Level 1,37.792998376384745,-122.24428229296403
040A341003400,7708,MACARTHUR BLVD,8/31/10,Y,Done - Level 1,37.76715328490918,-122.16859680132399
022 037101600,3104,14TH AVE,11/3/10,Y,Done - Level 1,37.798977576457794,-122.22887899866
023 041300801,410,MERRITT AVE,10/7/10,Y,Level 2 - Missing slope,37.80514813304781,-122.24913434631718
020 016300100,1905,FOOTHILL BLVD,9/14/10,Y,Done - Level 1 ,37.78785084130786,-122.23932047437668
045 537100303,587,105TH AVE,9/13/10,Y,Done - Level 1,37.7331847014364,-122.17882409104003
035 240200604,1718,HIGH ST,,Y,Incomplete Evaluation,37.77404213165393,-122.21212166677023
022 033800900,2401,IVY DR,11/22/10,Y,Done - Level 2 Required  ,37.80135365818253,-122.24359188028596
022 031500100,2415,7TH AVE,,Y,Done - Level 2 Required  ,37.80116353062666,-122.24283697265435
048A703902400,5410,BROADWAY,11/15/10,Y,Done - Level 2 Required  ,37.83930737690312,-122.24896043320891
028 093900502,3066,MACARTHUR BLVD,9/1/10,Y,Incomplete Evaluation,37.7966742115068,-122.20360069718366
047 555802604,10500,BANCROFT AVE,9/21/10,Y,Level 1 - missing data ,37.742172867619004,-122.15695345224762
023 041801302,627,BEACON ST,10/8/10,Y,Incomplete Evaluation - Unclaimed,37.80842107639105,-122.24661851528188
022 031301201,2275,PARK BLVD,9/21/10,Y,Done - Level 2 Required  ,37.80185035620858,-122.24557750143029
010 083102000,650,VERNON ST,9/2/10,Y,Incomplete Evaluation - Unclaimed,37.81927748603423,-122.24868878887018
027 084401003,2578,FRUITVALE AVE,8/27/10,Y,Done - Level 1,37.78887997289891,-122.22022028878754
010 077300503,279,LEE ST,9/23/10,Y,Level 2 - Missing slope,37.812131127258496,-122.25702465379567
038 324001700,5720,HARMON AVE,9/1/10,Y,Incomplete Evaluation,37.76946793943222,-122.19588914626252
009 069602300,699,30TH ST,9/1/10,Y,Exempt - no large openings,37.81958501066893,-122.27232316041336
015 134100900,996,60TH ST,8/30/10,Y,Incomplete Evaluation,37.843950243360894,-122.27940870819441
010 082301101,377,SANTA CLARA AVE,9/15/10,Y,Exempt - engineer's letter,37.813349745196255,-122.24881071846652
038 318300800,2451,SEMINARY AVE,10/25/10,Y,Level 2 - Missing slope,37.77055217221887,-122.19220145204639
022 031301202,415,VAN DYKE AVE,,Y,Done - Level 2 Required,37.80202714286577,-122.24555823627638
010 078400601,365,EUCLID AVE,10/20/10,Y,Exempt - engineer's letter,37.81241598844109,-122.25247968417568
010 078601001,369,PALM AVE,11/1/10,Y,Done - Level 1,37.812652923041014,-122.2538516089817
023 039502900,858,E 28TH ST,9/2/10,Y,Exempt - retrofitted,37.802225490157895,-122.23795490272246
032 203110300,3116,38TH AVE,9/1/10,Y,Incomplete Evaluation,37.787432179215386,-122.2023728072553
010 076901100,141,MONTECITO AVE,9/13/10,Y,Done - Level 2 Required  ,37.81194615592758,-122.25980816858294
023 041801100,643,BEACON ST,10/8/10,Y,Done - Level 1,37.80857024639079,-122.24628389501738
025 072102200,3080,E 15TH ST,,Y,Done - Level 1,37.77936738898145,-122.22612172011743
019 002802003,201,E 12TH ST,8/25/10,Y,Done - Level 1,37.79676578409522,-122.25743828724
038 321501600,5949,BROMLEY AVE,,Y,Incomplete Evaluation,37.76624631343299,-122.19587550304716
023 039502800,878,E 28TH ST,11/3/10,Y,Incomplete Evaluation - Unclaimed,37.801959944452804,-122.23802174815998
032 205802101,2619,HIGH ST,9/13/10,Y,Incomplete Evaluation,37.78297751879755,-122.20395518598471
010 077902001,420,BELLEVUE AVE,,Y,Incomplete Evaluation,37.80983225870142,-122.25228020389275
020 013600300,735,E 15TH ST,9/2/10,Y,Level 1 - missing data ,37.79428571720835,-122.25077165277108
022 033800700,2417,IVY DR,11/22/10,Y,Done - Level 2 Required  ,37.801440209854285,-122.24320859943798
029 125504000,5025,WOODMINSTER LN,9/7/10,Y,Done - Level 1,37.81160257984953,-122.19751961120066
023 040601100,500,ZORAH ST,9/14/10,Y,Done - Level 1,37.80278211887277,-122.2425081619989
,3035,LYNDE ST Bldg B ,,,Done - Level 1,,
033 213503000,3739,FOOTHILL BLVD,,Y,Incomplete Evaluation,37.77901022334337,-122.21718373691638
010 077902401,410,BELLEVUE AVE,9/24/10,Y,Done - Level 1,37.81024209772749,-122.2522277224026
,129,MOSS AVE,,Y,Incomplete Evaluation,,
023 041003100,604,BROOKLYN AVE,11/9/10,Y,Done - Level 2 Required  ,37.804814969673515,-122.2486756724834
023 041701000,478,CAPITAL ST,10/26/10,Y,Exempt - no large openings,37.806333958383235,-122.24744687942432
013 113901803,360,45TH ST,9/3/10,Y,Done - Level 1,37.83374006332594,-122.25649585083576
010 078600700,385,PALM AVE,,Y,Incomplete Evaluation,37.8129711071996,-122.25328738230284
046 546203400,2008,96TH AVE,10/13/10,Y,Done - Level 1,37.748679594166326,-122.16463645917048
030 192901802,3833,MAYBELLE AVE,,Y,Exempt - retrofitted,37.79093179468679,-122.19310400066348
010 077800800,433,BELLEVUE AVE,,Y,Incomplete Evaluation,37.80940664126406,-122.25297871140138
010 077600800,378,GRAND AVE,8/25/10,Y,Done - Level 1 ,37.80916744774301,-122.25470455530159
039 330902700,7216,ORRAL ST,9/7/10,Y,Exempt - no large openings,37.761209985156974,-122.18477164541939
022 036903400,2040,E 30TH ST,9/3/10,Y,Incomplete Evaluation,37.79749674528124,-122.22751043663774
029 099100401,2531,DAMUTH ST,8/31/10,Y,Incomplete Evaluation,37.80035716244539,-122.21060994126151
013 111101400,4235,MONTGOMERY ST,8/27/10,Y,Done - Level 1,37.82999784097248,-122.25164593410416
027 084401006,2558,FRUITVALE AVE,9/22/10,Y,Done - Level 1,37.78863495884885,-122.22033275038423
035 238700800,5142,BANCROFT AVE,11/15/10,Y,Incomplete Evaluation,37.772047777423666,-122.20385116773005
010 083003001,630,MARIPOSA AVE,,Y,Incomplete Evaluation,37.82018581404758,-122.24919987998678
008 062504300,315,15TH ST,8/24/10,Y,Exempt - retrofitted,37.803807031829244,-122.26749369957841
016 142701400,642,ALCATRAZ AVE,9/22/10,Y,Level 2 - Missing slope,37.85002551756759,-122.26369161823885
029A130500800,3801,LINCOLN AVE,10/13/10,Y,Done - Level 1,37.80309510486792,-122.21112581456073
020 020000200,2121,E 17TH ST,10/29/10,Y,Done - Level 1,37.78718850928665,-122.2363331158913
010 077103400,168,MONTECITO AVE,8/31/10,Y,Done - Level 1,37.811940237368376,-122.2589436419521
025 071600901,1510,29TH AVE,10/5/10,Y,Level 1 - missing data,37.78011604398812,-122.22764333657433
012 097902600,3764,SHAFTER AVE,12/1/10,Y,Ask for exemption - did not review ,37.82587192832917,-122.26004095498676
022 034200200,907,E 28TH ST,9/14/10,,Incomplete Evaluation,37.801122676958144,-122.23835259500832
048A703801400,5445,BROADWAY,9/29/10,Y,Done - Level 2 in process,37.84016009393828,-122.24920003219255
009 074001300,984,34TH ST,,Y,Incomplete Evaluation,37.8253592508504,-122.27712024815861
010 079101501,389,VERNON ST,,Y,Incomplete Evaluation,37.81636282074711,-122.25471266897159
010 077400801,301,PERKINS ST,11/9/10,Y,Done - Level 1,37.8124758132289,-122.25587290023212
010 083102400,664,VERNON ST,8/24/10,Y,Done - Level 2 Required  ,37.819697180066036,-122.24821573256695
009 070800300,3027,TELEGRAPH AVE,,Y,Incomplete Evaluation - Unclaimed,37.81962539740953,-122.26742779114352
023 041901903,570,BODEN WAY,,Y,Incomplete Evaluation,37.8079496169303,-122.2474990149377
042 424702001,1263,82ND AVE,,Y,Incomplete Evaluation,37.75465606638902,-122.18155843488702
010 082202500,491,CRESCENT ST,9/24/10,Y,Incomplete Evaluation,37.81457942376237,-122.2494849538091
029A130100303,3649,DIMOND AVE,9/21/10,Y,Incomplete Evaluation,37.8032415247503,-122.21672889736838
028 094503500,3550,LAUREL AVE,11/3/10,Y,Done - Level 1,37.795611699316346,-122.20360331748299
032 205304000,2868,38TH AVE,,Y,Incomplete Evaluation - Unclaimed,37.78687897267077,-122.2040970134741
027 087001800,3205,BROOKDALE AVE,9/14/10,Y,Level 1 - missing data ,37.7907986356585,-122.21351045439299
020 017700803,1515,6TH AVE,,Y,Done - Level 1,37.79607034736613,-122.25201622030309
027 086100200,3011,SCHOOL ST,11/4/10,Y,Done - Level 1,37.794310912759016,-122.2123770176376
011 083705100,525,GLENVIEW AVE,,Y,Incomplete Evaluation,37.81175234884104,-122.24458843572495
022 035702501,1330,E 28TH ST,8/30/10,Y,Exempt - less than 5 units,37.799059600343156,-122.23441371304445
027 085304200,2834,FRUITVALE AVE,8/30/10,Y,Exempt - retrofitted,37.792505406909946,-122.21892592691648
023 042502800,734,WESLEY WAY,,Y,Incomplete Evaluation,37.80992164193553,-122.24323593699464
009 069801602,2910,M L KING JR WAY,8/25/10,Y,Incomplete Evaluation - Unclaimed,37.81928661219228,-122.27076055606678
023 042001100,522,MERRITT AVE,NOTIFY,Y,Level 1 - missing data ,37.806842159224104,-122.24715325778097
023 047800402,3770,PARK BOULEVARD WAY,9/21/10,Y,Incomplete Evaluation,37.80487265100288,-122.23008095367064
027 087600200,2289,35TH AVE,9/9/11,Y,Done - Level 1,37.785904893439536,-122.21446103526765
010 081702800,169,SANTA ROSA AVE,11/10/10,Y,Done - Level 1,37.8196522540243,-122.25104918268872
,137,E 16TH ST,,Y,Exempt - no large openings,,
020 012200400,739,INTERNATIONAL BLVD,9/14/10,Y,Incomplete Evaluation - Unclaimed,37.793592913874456,-122.2518203689822
022 036701601,1948,E 29TH ST,6/27/11,Y,Done - Level 2 Required,37.79731852117009,-122.22926212668654
012 099602600,266,40TH STREET WAY,,Y,Exempt - city inspection,37.82750090014106,-122.25564699790453
012 098705201,155,MONTE CRESTA AVE,9/13/10,Y,Incomplete Evaluation - Unclaimed,37.823725815626815,-122.24988607362613
009 073501300,454,34TH ST,NEEDS,Y,Incomplete Evaluation,37.8222770142653,-122.26427959183367
023 039503901,3206,PARK BLVD,9/7/10,Y,Exempt - engineer's letter,37.80294706092628,-122.23602044323985
035 236204100,1448,50TH AVE,11/10/10,Y,Level 1 - missing data,37.77035797689767,-122.20774173726201
027 086902801,3300,BROOKDALE AVE,11/1/10,Y,Done - Level 1,37.79086827532742,-122.212096631402
010 077100601,301,LENOX AVE,11/22/10,Y,Done - Level 2 Required,37.81136210656762,-122.25783275397899
,333,WAYNE AVE,9/9/10,Y,Done - Level 2 Required,,
023 047800201,3760,PARK BOULEVARD WAY,,Y,Incomplete Evaluation,37.80505599023234,-122.2304830344978
046 547302103,9316,BANCROFT AVE,9/22/10,Y,Done - Level 1,37.751945179906464,-122.1639549700238
020 012903200,1438,LAKESHORE AVE,9/23/10,Y,Exempt - no large openings,37.79964382615824,-122.25678961944676
029A133004100,4902,PARK BLVD,11/4/10,Y,Exempt - less than 5 units,37.81275653709758,-122.21404496455258
029A130501502,3715,LINCOLN AVE,10/8/10,Y,Exempt - no large openings,37.80240995326408,-122.2120103373172
025 073404200,1654,25TH AVE,11/22/10,Y,Done - Level 1,37.78413432500315,-122.23075430851503
010 080801901,3300,KEMPTON AVE,,Y,Level 1 - missing data ,37.81964678543341,-122.25716496224318
