NUMBER,STREET,NOTIFY_DATE,NOTIFY,STATUS
2868,38TH AVE,,Y,Incomplete Evaluation - Unclaimed
3116,38TH AVE,9/1/10,Y,Incomplete Evaluation
3141,38TH AVE,,Y,Done - Level 1
3507,38TH AVE,9/21/10,Y,Level 1 - missing data 
396,38TH ST,9/20/10,Y,Done - Level 1
409,38TH ST,9/13/10,Y,Incomplete Evaluation - Unclaimed
427,38TH ST,9/21/10,Y,Done - Level 1 
1600,39TH AVE,10/13/10,Y,Done - Level 1
3669,39TH AVE,9/16/10,Y,Incomplete Evaluation - Unclaimed
3670,39TH AVE,9/1/10,Y,Ask for exemption - did not review 
3743,39TH AVE,8/25/10,Y,Done - Level 1
3773,39TH AVE,10/19/10,Y,Incomplete Evaluation
3790,39TH AVE,8/26/10,Y,Incomplete Evaluation
3800,39TH AVE,11/9/10,Y,Level 1 - missing data 
3806,39TH AVE,9/15/10,Y,Done - Level 1
3814,39TH AVE,8/31/10,Y,Done - Level 1
1227,3RD AVE,,Y,Exempt - city inspection
1233,3RD AVE,9/9/10,Y,Incomplete Evaluation
1435,3RD AVE,,Y,Exempt - retrofitted
1533,3RD AVE,,Y,Exempt - city inspection
1545,3RD AVE,9/7/10,Y,Exempt - no large openings
1432,3RD AVE - Bldg #1438,9/22/10,Y,Level 2 - Missing slope
450,40TH ST,9/22/10,Y,Exempt - no large openings
456,40TH ST,9/28/10,Y,Level 1 - missing data
460,40TH ST,10/6/10,Y,Exempt - less than 5 units
854,40TH ST,9/22/10,Y,Ask for exemption - did not review 
266,40TH STREET WAY,,Y,Exempt - city inspection
95,41ST ST,9/2/10,Y,Done - Level 1
121,41ST ST,10/8/10,Y,Incomplete Evaluation
174,41ST ST,1/20/11,Y,Done - Level 1
198,41ST ST,9/22/10,Y,Incomplete Evaluation
207,41ST ST,,Y,Incomplete Evaluation
225,41ST ST,,Y,Level 1 - missing data
237,41ST ST,8/31/10,Y,Exempt - retrofitted
263,41ST ST,8/31/10,Y,Exempt - retrofitted
275,41ST ST,8/31/10,Y,Done - Level 1
339,41ST ST,11/1/10,Y,Incomplete Evaluation - Unclaimed
418,41ST ST,9/15/10,Y,Incomplete Evaluation
433,41ST ST,11/22/10,Y,Incomplete Evaluation
466,41ST ST,9/13/10,Y,Exempt - engineer's letter
490,41ST ST,8/31/10,Y,Done - Level 1
529,41ST ST,,Y,Incomplete Evaluation
1904,42ND AVE,10/22/10,Y,Level 1 - missing data 
490,42ND ST,10/18/10,Y,Done - Level 1
360,45TH ST,9/3/10,Y,Done - Level 1
1942,47TH AVE,9/14/10,Y,Incomplete Evaluation - Unclaimed
2225,48TH AVE,9/13/10,Y,Incomplete Evaluation - Unclaimed
1506,4TH AVE,10/22/10,Y,Exempt - no large openings
1518,4TH AVE,9/7/10,Y,Incomplete Evaluation
1534,4TH AVE,,Y,Incomplete Evaluation
1639,4TH AVE,,Y,Incomplete Evaluation - Unclaimed
1738,4TH AVE,,Y,Incomplete Evaluation
1448,50TH AVE,11/10/10,Y,Level 1 - missing data
1541,50TH AVE,11/15/10,Y,Done - Level 1
1620,50TH AVE,9/14/10,Y,Incomplete Evaluation
2100,51ST AVE,10/22/10,Y,Done - Level 1
612,54TH ST,9/20/10,Y,Exempt - less than 5 units
474,55TH ST,9/7/10,Y,Exempt - less than 5 units
489,55TH ST,9/14/10,Y,Level 1 - missing data
1423,57TH AVE,,Y,Exempt - city inspection
2016,57TH AVE,11/9/10,Y,Incomplete Evaluation
1089,57TH ST,,Y,Incomplete Evaluation
570,58TH ST,,Y,Incomplete Evaluation
822,59TH ST,,Y,Exempt - no large openings
1231,5TH AVE,,Y,Incomplete Evaluation
1640,5TH AVE,9/28/10,Y,Done - Level 1
1820,5TH AVE,9/20/10,Y,Done - Level 1
1848,5TH AVE,10/18/10,Y,Ask for exemption - did not review  
1921,5TH AVE,10/4/10,Y,Level 1 - missing data
1927,5TH AVE,9/2/10,Y,Done - Level 2 Required  
2014,5TH AVE,9/21/10,Y,Done - Level 1
996,60TH ST,8/30/10,Y,Incomplete Evaluation
3240,61ST AVE,8/30/10,Y,Done - Level 1
2610,62ND AVE,,Y,Incomplete Evaluation - Unclaimed
2649,62ND AVE,9/14/10,Y,Done - Level 1
3300,66TH AVE,9/2/10,Y,Done - Level 1
3571,66TH AVE,11/8/10,Y,Done - Level 2 Required  
574,66TH ST,9/21/10,Y,Exempt - less than 5 units
3419,69TH AVE,9/15/10,Y,Level 1 - missing data 
1231,6TH AVE,,Y,Incomplete Evaluation
1515,6TH AVE,,Y,Done - Level 1
1811,6TH AVE,11/4/10,Y,Level 2 - Missing slope
1829,6TH AVE,10/26/10,Y,Done - Level 1
1926,6TH AVE,,Y,Incomplete Evaluation
1932,6TH AVE,9/21/10,Y,Incomplete Evaluation - Unclaimed
2515,76TH AVE,9/21/10,Y,Done - Level 1
2767,79TH AVE,9/7/10,Y,Incomplete Evaluation
1844,7TH AVE,2/16/11,Y,Done - Level 1
1930,7TH AVE,9/14/10,Y,Done - Level 2 Required  
1940,7TH AVE,8/25/10,Y,Done - Level 2 Required  
2030,7TH AVE,10/13/10,Y,Done - Level 1
2227,7TH AVE,9/13/10,Y,Done - Level 1
2415,7TH AVE,,Y,Done - Level 2 Required  
2424,7TH AVE,,Y,Done - Level 1
2501,7TH AVE,11/9/10,Y,Done - Level 2 Required  
2511,7TH AVE,9/15/10,Y,Done - Level 2 Required  
2519,7TH AVE,10/7/10,Y,Done - Level 2 Required  
1929,7TH AVE - front ,10/14/10,Y,Level 1 - missing data
1215,80TH AVE,,Y,Incomplete Evaluation
1071,81ST AVE,11/8/10,Y,Done - Level 1
1079,81ST AVE,,Y,Incomplete Evaluation
1263,82ND AVE,,Y,Incomplete Evaluation
2268,82ND AVE,8/30/10,Y,Done - Level 1
1605,8TH AVE,,Y,Incomplete Evaluation - Unclaimed
1706,8TH AVE,9/21/10,Y,Done - Level 1
1722,8TH AVE,10/13/10,Y,Level 1 - missing data 
1811,8TH AVE,8/26/11,Y,Done - Level 1
1843,8TH AVE,10/7/10,Y,Done - Level 1
1846,8TH AVE,9/1/10,Y,Done - Level 1
2039,8TH AVE,,Y,Incomplete Evaluation
2416,8TH AVE,9/20/10,Y,Done - Level 1
2422,8TH AVE,10/7/10,Y,Done - Level 1
2430,8TH AVE,9/20/10,Y,Done - Level 1
2440,8TH AVE,11/1/10,Y,Done - Level 1
2445,8TH AVE,,Y,Incomplete Evaluation
2530,8TH AVE,9/3/10,Y,Done - Level 1
2538,8TH AVE,8/26/10,Y,Done - Level 1
2624,8TH AVE,10/20/10,Y,Incomplete Evaluation
2809,8TH AVE,10/26/10,Y,Incomplete Evaluation - Unclaimed
211,8TH ST,9/27/10,Y,Incomplete Evaluation
2008,90TH AVE,,Y,Incomplete Evaluation
1603,92ND AVE,9/22/10,Y,Exempt - no large openings
1838,92ND AVE,,Y,Incomplete Evaluation
2345,92ND AVE,9/3/10,Y,Done - Level 1
2424,94TH AVE,,Y,Incomplete Evaluation
1820,96TH AVE,,Y,Incomplete Evaluation
2008,96TH AVE,10/13/10,Y,Done - Level 1
1311,97TH AVE,10/25/10,Y,Incomplete Evaluation - Unclaimed
1522,98TH AVE,,Y,Incomplete Evaluation
1218,9TH AVE,,Y,Incomplete Evaluation
1836,9TH AVE,8/24/10,Y,Done - Level 1
1924,9TH AVE,9/17/10,Y,Incomplete Evaluation
1934,9TH AVE,10/18/10,Y,Incomplete Evaluation
2605,9TH AVE,,Y,Done - Level 2 Required  
2606,9TH AVE,8/30/10,Y,Done - Level 1
2710,9TH AVE,9/21/10,Y,Done - Level 1
8811,A ST,9/22/10,Y,Incomplete Evaluation - Unclaimed
233,ACTON PL,11/9/10,Y,Incomplete Evaluation
252,ACTON PL,10/8/10,Y,Done - Level 1 
266,ADAMS ST,8/31/10,Y,Done - Level 2 Required 
276,ADAMS ST,9/9/10,Y,Done - Level 2 Required  
330,ADAMS ST,11/1/10,Y,Exempt - engineer's letter
335,ADAMS ST,8/24/10,Y,Exempt - no large openings
350,ADAMS ST,10/7/10,Y,Incomplete Evaluation
380,ADAMS ST,9/20/10,Y,Incomplete Evaluation - Unclaimed
381,ADAMS ST,,Y,Incomplete Evaluation
382,ADAMS ST,10/6/10,Y,Done - Level 1 
385,ADAMS ST,10/22/10,Y,Done - Level 2 in process
415,ADAMS ST,9/2/10,Y,Incomplete Evaluation
433,ADAMS ST,9/21/10,Y,Incomplete Evaluation
440,ADAMS ST,8/25/10,Y,Done - Level 1 
3201,ADELINE ST,,Y,Incomplete Evaluation
335,ALCATRAZ AVE,9/16/10,Y,Done - Level 1
387,ALCATRAZ AVE,,Y,Incomplete Evaluation
473,ALCATRAZ AVE,9/162010,Y,Done - Level 1
481,ALCATRAZ AVE,9/21/10,Y,Done - Level 1
540,ALCATRAZ AVE,10/25/10,Y,Level 1 - missing data 
642,ALCATRAZ AVE,9/22/10,Y,Level 2 - Missing slope
648,ALCATRAZ AVE,8/26/10,Y,Level 2 - Missing slope
650,ALCATRAZ AVE,8/30/10,Y,Done - Level 1
722,ALCATRAZ AVE,,Y,Incomplete Evaluation
795,ALCATRAZ AVE,11/16/10,Y,Exempt - less than 5 units
3422,ALEXANDER CT,9/28/10,Y,Incomplete Evaluation
1449,ALICE ST,11/15/10,Y,Exempt - no large openings
1450,ALICE ST,8/31/10,Y,Exempt - no large openings
1460,ALICE ST,10/26/10,Y,Done - Level 1
1461,ALICE ST,,Y,Incomplete Evaluation
1470,ALICE ST,9/2/10,Y,Done - Level 1
1502,ALICE ST,9/15/10,Y,Exempt - no large openings
1515,ALICE ST,11/16/10,Y,Exempt - no large openings
1519,ALICE ST,,Y,Exempt - city inspection
1529,ALICE ST,,Y,Incomplete Evaluation
1553,ALICE ST,10/4/10,Y,Done - Level 1 
1560,ALICE ST,9/2/10,Y,Exempt - no large openings
4001,ALLENDALE AVE,10/4/10,Y,Level 1 - missing data 
4059,ALLENDALE AVE,8/27/10,Y,Level 1 - missing data 
4077,ALLENDALE AVE,11/15/10,Y,Level 1 - missing data 
633,ALMA AVE,8/31/10,Y,Done - Level 1 
669,ALMA AVE,10/7/10,Y,Done - Level 2 in process
676,ALMA AVE,,Y,Incomplete Evaluation
340,ALTA VISTA AVE,9/22/10,Y,Done - Level 1
2700,ALVINGROOM CT,9/22/10,Y,Incomplete Evaluation
2730,ALVINGROOM CT,,Y,Exempt - less than 5 units
5,ANAIR WAY,10/18/10,Y,Incomplete Evaluation - Unclaimed
3422,ANDOVER ST,10/26/10,Y,Exempt - no large openings
6218,ANTIOCH ST,8/27/10,Y,Done - Level 1
6225,ANTIOCH ST,8/27/10,Y,Level 1 - missing data 
3390,ARKANSAS ST,,Y,Done - Level 1
6862,ARTHUR ST,11/15/10,Y,Exempt - less than 5 units
3114,ASHBROOK CT,8/30/10,Y,Done - Level 1
118,ATHOL AVE,8/24/10,Y,Done - Level 1
127,ATHOL AVE,9/21/10,Y,Incomplete Evaluation - Unclaimed
155,ATHOL AVE,10/4/10,Y,Done - Level 2 Required  
166,ATHOL AVE,,Y,Incomplete Evaluation - Unclaimed
176,ATHOL AVE,,Y,Exempt - city inspection
185,ATHOL AVE,8/26/10,Y,Done - Level 2 Required  
201,ATHOL AVE,9/3/10,Y,Done - Level 1
210,ATHOL AVE,9/16/10,Y,Done - Level 1
211,ATHOL AVE,9/7/10,Y,Done - Level 1
226,ATHOL AVE,9/22/10,Y,Incomplete Evaluation
237,ATHOL AVE,11/1/10,Y,Exempt - retrofitted
240,ATHOL AVE,11/16/10,Y,Incomplete Evaluation
243,ATHOL AVE,8/31/10,Y,Incomplete Evaluation
257,ATHOL AVE,10/5/10,Y,Exempt - engineer's letter
263,ATHOL AVE,10/22/10,Y,Done - Level 1
321,ATHOL AVE,9/7/10,Y,Done - Level 2 Required
357,ATHOL AVE,,Y,Level 1 - missing data
445,ATHOL AVE,9/15/10,Y,Done - Level 1
5735,AVENAL AVE,9/14/10,Y,Incomplete Evaluation - Unclaimed
427,AVON ST,8/31/10,Y,Incomplete Evaluation
430,AVON ST,,Y,Incomplete Evaluation - Unclaimed
5830,AYALA AVE,,Y,Incomplete Evaluation - Unclaimed
9601,B ST,10/7/10,Y,Exempt - no large openings
4555,BANCROFT AVE,,Y,Incomplete Evaluation
5142,BANCROFT AVE,11/15/10,Y,Incomplete Evaluation
5300,BANCROFT AVE,8/30/10,Y,Done - Level 1
5439,BANCROFT AVE,11/3/10,Y,Incomplete Evaluation
5452,BANCROFT AVE,9/2/10,Y,Incomplete Evaluation
5460,BANCROFT AVE,8/31/10,Y,Done - Level 2 Required  
5645,BANCROFT AVE,11/8/10,Y,Done - Level 1
7911,BANCROFT AVE,,Y,Incomplete Evaluation
7940,BANCROFT AVE,,Y,Incomplete Evaluation
9225,BANCROFT AVE,,Y,Done - Level 1
9301,BANCROFT AVE,10/13/10,Y,Level 2 - Missing slope
9316,BANCROFT AVE,9/22/10,Y,Done - Level 1
9326,BANCROFT AVE,,Y,Incomplete Evaluation
9874,BANCROFT AVE,9/24/10,Y,Done - Level 1
10401,BANCROFT AVE,,Y,Incomplete Evaluation
10500,BANCROFT AVE,9/21/10,Y,Level 1 - missing data 
2401,BARTLETT ST,9/29/10,Y,Incomplete Evaluation - Unclaimed
927,BAYVIEW AVE,,Y,Incomplete Evaluation
607,BEACON ST,,Y,Incomplete Evaluation
626,BEACON ST,,Y,Incomplete Evaluation
627,BEACON ST,10/8/10,Y,Incomplete Evaluation - Unclaimed
637,BEACON ST,,Y,Incomplete Evaluation
643,BEACON ST,10/8/10,Y,Done - Level 1
648,BEACON ST,,Y,Incomplete Evaluation
688,BEACON ST,9/22/10,Y,Exempt - engineer's letter
3201,BEAUMONT AVE,,Y,Incomplete Evaluation
3225,BEAUMONT AVE,9/14/10,Y,Done - Level 1
1100,BELLA VISTA AVE,11/22/10,Y,Exempt - no large openings
366,BELLEVUE AVE,11/9/10,Y,Level 2 - Missing slope
369,BELLEVUE AVE,10/13/10,Y,Exempt - engineer's letter
374,BELLEVUE AVE,8/31/10,Y,Incomplete Evaluation - Unclaimed
375,BELLEVUE AVE,8/31/10,Y,Exempt - no large openings
396,BELLEVUE AVE,,Y,Done - Level 1
405,BELLEVUE AVE,9/2/10,Y,Done - Level 1
410,BELLEVUE AVE,9/24/10,Y,Done - Level 1
415,BELLEVUE AVE,,Y,Incomplete Evaluation
420,BELLEVUE AVE,,Y,Incomplete Evaluation
429,BELLEVUE AVE,9/1/10,Y,Done - Level 1
433,BELLEVUE AVE,,Y,Incomplete Evaluation
436,BELLEVUE AVE,9/2/10,Y,Incomplete Evaluation
439,BELLEVUE AVE,9/24/10,Y,Exempt - no large openings
362,BELMONT ST,9/15/10,Y,Exempt - engineer's letter
370,BELMONT ST,8/27/10,Y,Ask for exemption - did not review 
8130,BIRCH ST,10/20/10,Y,Done - Level 1
9633,BIRCH ST,8/25/10,Y,Done - Level 1
520,BODEN WAY,,Y,Incomplete Evaluation
556,BODEN WAY,9/22/10,Y,Done - Level 2 Required  
570,BODEN WAY,,Y,Incomplete Evaluation
590,BODEN WAY,,Y,Incomplete Evaluation
3002,BONA ST,,Y,Done - Level 1
3010,BONA ST,10/8/10,Y,Done - Level 2 Required  
3474,BOSTON AVE,,Y,Incomplete Evaluation
4020,BROADWAY,9/16/10,Y,Incomplete Evaluation
4118,BROADWAY,11/16/10,Y,Done - Level 1
5390,BROADWAY,10/25/10,Y,Done - Level 2 Required  
5410,BROADWAY,11/15/10,Y,Done - Level 2 Required  
5445,BROADWAY,9/29/10,Y,Done - Level 2 in process
5949,BROMLEY AVE,,Y,Incomplete Evaluation
2858,BROOKDALE AVE,,Y,Incomplete Evaluation
2926,BROOKDALE AVE,,Y,Incomplete Evaluation
2937,BROOKDALE AVE,10/7/10,Y,Level 2 - Missing slope
2953,BROOKDALE AVE,10/6/10,Y,Done - Level 1
3020,BROOKDALE AVE,10/7/10,Y,Level 1 - missing data 
3149,BROOKDALE AVE,10/6/10,Y,Done - Level 1
3205,BROOKDALE AVE,9/14/10,Y,Level 1 - missing data 
3300,BROOKDALE AVE,11/1/10,Y,Done - Level 1
3334,BROOKDALE AVE,NOTIFY,Y,Done - Level 1
3502,BROOKDALE AVE,11/16/10,Y,Done - Level 1
600,BROOKLYN AVE,9/14/10,Y,Incomplete Evaluation
601,BROOKLYN AVE,9/14/10,Y,Exempt - engineer's letter
604,BROOKLYN AVE,11/9/10,Y,Done - Level 2 Required  
615,BROOKLYN AVE,,Y,Incomplete Evaluation
617,BROOKLYN AVE,,Y,Incomplete Evaluation
624,BROOKLYN AVE,10/22/10,Y,Incomplete Evaluation - Unclaimed
640,BROOKLYN AVE,11/9/10,Y,Exempt - engineer's letter
3799,BUELL ST,9/7/10,Y,Exempt - no large openings
3861,BUELL ST,,Y,Done - Level 1
3867,BUELL ST,,Y,Done - Level 1
420,BURK ST,,Y,Incomplete Evaluation
421,BURK ST,,Y,Incomplete Evaluation
5470,CAMDEN ST,11/9/10,Y,Incomplete Evaluation
558,CAPELL ST,11/9/10,Y,Done - Level 1
580,CAPELL ST,9/29/10,Y,Exempt - no large openings
478,CAPITAL ST,10/26/10,Y,Exempt - no large openings
490,CAPITAL ST,7/6/11,Y,Done - Level 1
498,CAPITAL ST,10/7/10,Y,Done - Level 2 Required
2856,CARMEL ST,,Y,Level 1 - missing data 
4230,CARRINGTON ST,10/25/10,Y,Incomplete Evaluation - Unclaimed
2208,CARROLL ST,9/2/10,Y,Done - Level 2 Required  
2215,CARROLL ST,10/22/10,Y,Incomplete Evaluation - Unclaimed
1830,CASTRO ST,extension,Y,Done - Level 1
3048,CHAMPION ST,9/13/10,Y,Ask for exemption - did not review 
3127,CHAMPION ST,9/24/10,Y,Incomplete Evaluation - Unclaimed
3135,CHAMPION ST,10/25/10,Y,Level 1 - missing data 
3464,CHAMPION ST,10/26/10,Y,Incomplete Evaluation - Unclaimed
499,CHETWOOD ST,,Y,Incomplete Evaluation
505,CHETWOOD ST,11/9/10,Y,Incomplete Evaluation - Unclaimed
541,CHETWOOD ST,,Y,Incomplete Evaluation
5420,CLAREMONT AVE,,Y,Incomplete Evaluation
5428,CLAREMONT AVE,10/7/10,Y,Ask for exemption - did not review 
6009,CLAREMONT AVE,9/14/10,Y,Done - Level 1
3805,CLARKE ST,11/10/10,Y,Exempt - less than 5 units
1605,CLAY ST,,Y,Done - Level 1
633,CLEVELAND ST,8/31/10,Y,Level 1 - missing data 
882,CLEVELAND ST,,Y,Incomplete Evaluation
886,CLEVELAND ST,8/26/10,Y,Done - Level 2 Required  
225,CLIFTON ST,9/21/10,Y,Incomplete Evaluation - Unclaimed
5920,COLLEGE AVE,11/9/10,Y,Exempt - engineer's letter
2020,COOLIDGE AVE,8/31/10,Y,Done - Level 1
3535,COOLIDGE AVE,10/28/10,Y,Done - Level 2 in process
3627,COOLIDGE AVE,,Y,Incomplete Evaluation
2129,COURTLAND AVE,,Y,Incomplete Evaluation
491,CRESCENT ST,9/24/10,Y,Incomplete Evaluation
3061,CURRAN AVE,8/26/10,Y,Exempt - less than 5 units
3121,CUTHBERT AVE,,Y,Incomplete Evaluation
9940,D ST,,Y,Incomplete Evaluation - Unclaimed
2461,DAMUTH ST,10/22/10,Y,Incomplete Evaluation - Unclaimed
2531,DAMUTH ST,8/31/10,Y,Incomplete Evaluation
2453,DAMUTH ST Bldg #1,11/15/10,Y,Done - Level 1
6635,DANA ST,8/26/10,Y,Incomplete Evaluation
3050,DAVIS ST,10/8/10,Y,Done - Level 1
3242,DAVIS ST,8/30/10,Y,Done - Level 1
3320,DAVIS ST,,Y,Incomplete Evaluation
3525,DIMOND AVE,11/15/10,Y,Level 1 - missing data 
3541,DIMOND AVE,9/22/10,Y,Incomplete Evaluation
3556,DIMOND AVE,10/19/10,Y,Level 2 - Missing slope
3565,DIMOND AVE,8/26/10,Y,Exempt - engineer's letter
3566,DIMOND AVE,11/1/10,Y,Incomplete Evaluation
3600,DIMOND AVE,,Y,Incomplete Evaluation
3621,DIMOND AVE,10/25/10,Y,Level 1 - missing data 
3645,DIMOND AVE,9/2/10,Y,Done - Level 1
3649,DIMOND AVE,9/21/10,Y,Incomplete Evaluation
3667,DIMOND AVE,10/26/10,Y,Done - Level 1
250,E 11TH ST,,Y,Incomplete Evaluation
515,E 11TH ST,10/26/10,Y,Exempt - no large openings
528,E 11TH ST,11/10/10,Y,Incomplete Evaluation
136,E 12TH ST,10/20/10,Y,Done - Level 1
201,E 12TH ST,8/25/10,Y,Done - Level 1
200,E 15TH ST,9/24/10,Y,Exempt - retrofitted
212,E 15TH ST,,Y,Ask for exemption - did not review 
220,E 15TH ST,,Y,Ask for exemption - did not review 
224,E 15TH ST,,Y,Done - Level 1
336,E 15TH ST,9/15/10,Y,Incomplete Evaluation - Unclaimed
424,E 15TH ST,9/1/10,Y,Incomplete Evaluation
428,E 15TH ST,9/21/10,Y,Incomplete Evaluation
