parcel_number,street_number,street_name,latitude,longitude
033 212100200,3231,E 16TH ST,37.77993244889324,-122.22374959194836
021 027300100,1940,7TH AVE,37.79790423531161,-122.2465705751996
037 254700806,3861,BUELL ST,37.78703463332128,-122.18598604627174
020 018901200,828,FOOTHILL BLVD,37.79464563130459,-122.24876508561661
010 081200200,95,MOSS AVE,37.820157892514516,-122.25303038610478
014 122502300,5418,TELEGRAPH AVE,37.83958668070227,-122.26154880699035
016 144401700,1036,62ND ST,37.8457362801264,-122.2812660157316
038 317706600,5760,FOOTHILL BLVD,37.7722343137988,-122.19258185011437
020 020501600,1736,23RD AVE,37.78617182201685,-122.23247532925357
012 100000100,4040,MANILA AVE,37.82854729748569,-122.25749586646675
005 045800100,1235,30TH ST,37.82224765742989,-122.28364656364145
046 549000700,9825,MACARTHUR BLVD,37.7490754146235,-122.15869428565608
003 000900700,876,MEAD AVE,37.81627774376677,-122.27736206847034
026 073800200,2624,FOOTHILL BLVD,37.7848501718197,-122.22809985681252
010 080601700,285,FAIRMOUNT AVE,37.81793814604644,-122.25925597778223
032 205809800,2701,HIGH ST,37.78345027200611,-122.20338884045279
036 241601400,2225,48TH AVE,37.77675045677376,-122.20505367253624
042 424707301,1388,81ST AVE,37.75533407097118,-122.18090728337707
021 022601600,200,WAYNE AVE,37.801230260973135,-122.25221101450151
040A345700300,8019,GREENRIDGE DR,37.77325011380995,-122.1542322358741
005 045100100,2736,MYRTLE ST,37.81905869385648,-122.27794429488254
021 022000700,650,E 17TH ST,37.79660931691619,-122.24931815982102
027 089603702,2429,HUMBOLDT AVE,37.788794648157996,-122.21365080558789
010 080703601,3080,RICHMOND BLVD,37.82002733453083,-122.25832746643134
032 204701000,2020,HIGH ST,37.77606212656783,-122.20994408219266
033 212802100,1740,35TH AVE,37.78142414135416,-122.21931265938667
027 088401500,3422,ALEXANDER CT,37.78365648188319,-122.21871608821394
010 078504000,348,EUCLID AVE,37.81323939076567,-122.25213781173089
030 192902101,3809,MAYBELLE AVE,37.790691619594384,-122.19359318741645
027 087902204,3401,SALISBURY ST,37.78624737627349,-122.2175453109688
045 536901103,324,105TH AVE,37.72609844807507,-122.18118725465256
023 041300801,410,MERRITT AVE,37.80514813304781,-122.24913434631718
023 041300802,501,WESLEY AVE,37.805012457189754,-122.2492821982206
019 003601100,1024,E 11TH ST,37.79059936625564,-122.25095876771216
025 071300700,1515,28TH AVE,37.781118390671445,-122.22923972382345
032 203108600,3217,LIESE AVE,37.78786831709758,-122.2019577859154
025 072501801,3012,E 18TH ST,37.78251610295055,-122.2242995889041
015 138300700,5915,TELEGRAPH AVE,37.84540034995646,-122.26150467476727
039 328001101,6506,FOOTHILL BLVD,37.7707848113979,-122.18282302651244
021 022201300,1738,4TH AVE,37.79850218196311,-122.25145744699805
012 100401905,350,41ST ST,37.8290796396202,-122.25772888481599
004 003100500,1143,10TH ST,37.80560056530754,-122.28691312518251
046 544802300,9706,CHERRY ST,37.74714200300257,-122.16628649562134
010 078505102,270,EUCLID AVE,37.81515198977374,-122.25305760171159
029A130100700,3621,DIMOND AVE,37.802654705772255,-122.21691508989473
010 078505101,272,EUCLID AVE,37.81506492051079,-122.25290784861846
032 208302300,1904,42ND AVE,37.775992362788834,-122.21269118404115
012 098502801,3918,CERRITO AVE,37.82648771454554,-122.25536373342096
009 074001100,964,34TH ST,37.82527819431336,-122.27678588475175
012 094901600,980,36TH ST,37.82693278989762,-122.2767429178021
013 111101900,4211,MONTGOMERY ST,37.829491402056604,-122.25215853207658
038 318000501,5537,FOOTHILL BLVD,37.772113796988805,-122.19495134891187
010 081702900,171,SANTA ROSA AVE,37.819505659159795,-122.25089240527319
020 021801206,1706,8TH AVE,37.79546202732692,-122.24811117724106
010 078101500,400,LAGUNITAS AVE,37.80998129227603,-122.25118544831076
020 017901000,1507,4TH AVE,37.797389696816545,-122.25365517598726
037A275502602,6646,MACARTHUR BLVD,37.77241151717811,-122.17642098579506
010 077201300,465,LEE ST,37.809585971075556,-122.25739031476755
030 198015700,3810,REDDING ST,37.79125511696417,-122.1992117740598
022 030801200,411,WAYNE AVE,37.80372565429414,-122.25254430575377
022 034101300,2605,9TH AVE,37.80076425699604,-122.23975544056445
048A703500100,5390,BROADWAY,37.83891367282552,-122.24920649110827
012 092700300,360,MONTE VISTA AVE,37.82224265900666,-122.24885661050618
004 001500900,1109,LINDEN ST,37.807154143654714,-122.28508064881906
009 073100800,3351,RICHMOND BLVD,37.82045382306662,-122.2592610420719
022 036500600,2800,21ST AVE,37.795370003797984,-122.22832023384623
009 069602300,699,30TH ST,37.81958501066893,-122.27232316041336
033 211900500,1637,33RD AVE,37.78076687336658,-122.22341777571492
023 041601001,450,MERRITT AVE,37.806093617980956,-122.24856106480294
010 078600700,385,PALM AVE,37.8129711071996,-122.25328738230284
023 047800100,3750,PARK BOULEVARD WAY,37.804897296958096,-122.23036089446283
013 111902400,118,ECHO AVE,37.82718342399716,-122.24720382750196
022 030903100,455,NEWTON AVE,37.80406020894327,-122.2494191994762
036 241903300,2158,50TH AVE,37.775002373299316,-122.20422956251922
032 205802400,2605,HIGH ST,37.78277186091437,-122.2042102555258
010 078801401,264,LEE ST,37.81300743142012,-122.25722864703083
010 079501500,77,VERNON ST,37.81313685437349,-122.2596159407053
010 078301500,406,VAN BUREN AVE,37.81070981941344,-122.25330140423624
023 049901000,3454,MORRISON AVE,37.79964587058542,-122.21986146895061
023 041900900,539,MERRITT AVE,37.80763218481088,-122.24741094839528
020 012000500,953,INTERNATIONAL BLVD,37.792023915575264,-122.25004625128614
025 071401900,2830,INTERNATIONAL BLVD,37.78009590425724,-122.2290021415704
011 083704400,750,WARFIELD AVE,37.81255640888759,-122.24490966246681
035 235804302,1600,45TH AVE,37.772557553358716,-122.2114441042518
023 041901500,520,BODEN WAY,37.80741822695967,-122.24846801484533
027 086101300,3069,PLEITNER AVE,37.793260911141296,-122.21239598224295
033 213203900,1505,37TH AVE,37.77634849202424,-122.22033869454161
020 015901201,1501,23RD AVE,37.78451321359388,-122.235223507859
010 076600100,375,GRAND AVE,37.80853697812111,-122.254821388991
010 077300401,275,LEE ST,37.81224177720165,-122.257160188213
027 086002604,3050,FRUITVALE AVE,37.795204101292825,-122.21760418283556
020 012200400,739,INTERNATIONAL BLVD,37.793592913874456,-122.2518203689822
022 031301201,2275,PARK BLVD,37.80185035620858,-122.24557750143029
022 031301202,415,VAN DYKE AVE,37.80202714286577,-122.24555823627638
024 053601900,4154,PARK BLVD,37.80655687708402,-122.22337628492032
010 077502100,414,LEE ST,37.810368421773084,-122.25628276533887
010 082202500,491,CRESCENT ST,37.81457942376237,-122.2494849538091
008 063300601,150,17TH ST,37.80450115247669,-122.26254924398471
038 322400302,5511,HILTON ST,37.77178454151671,-122.19660232896992
010 082000400,217,SANTA CLARA AVE,37.817294788215214,-122.25109399163091
028 095701400,3614,MIDVALE AVE,37.79437165603774,-122.20069291050488
033 213000100,3519,E 16TH ST,37.77814794540154,-122.2212697602046
033 215700902,1209,39TH AVE,37.7734651163374,-122.22006095212562
037A275509103,6636,LAIRD AVE,37.773568418122736,-122.17505541800256
020 016300200,1917,FOOTHILL BLVD,37.78761145873347,-122.23922215452669
025 072500200,2925,E 19TH ST,37.783134266001845,-122.2249836673875
015 137901601,6366,RACINE ST,37.84966791976467,-122.26257912042072
007 056000101,1611,17TH STREET,37.813197176141294,-122.29284989408617
014 126605900,5920,COLLEGE AVE,37.847623014590404,-122.25184722197028
001 017901700,211,8TH ST,37.79773617842008,-122.26819295310369
028 093902205,3042,MACARTHUR BLVD,37.79708543745353,-122.20386198098464
021 027400300,1929,7TH AVE - front ,37.79814960019836,-122.24728374250567
003 005501501,772,18TH ST,37.80977913944058,-122.27757406396803
010 079500902,271,VERNON ST,37.81459791957977,-122.25798816771508
022 031500100,2415,7TH AVE,37.80116353062666,-122.24283697265435
010 079500909,287,VERNON ST,37.81484579306777,-122.25739815925228
022 030803200,312,WAYNE AVE,37.80292726977867,-122.25263546958662
025 073200301,2727,E 17TH ST,37.782635305640845,-122.22887254224007
010 078902100,380,ADAMS ST,37.81486681144702,-122.25447996714149
010 077402000,375,PERKINS ST,37.811023130901155,-122.25553010261709
010 082602500,396,SANTA CLARA AVE,37.81292277642719,-122.24811172106944
033 212102900,1536,FRUITVALE AVE,37.779355151003244,-122.22451242590918
016 139103900,473,ALCATRAZ AVE,37.85007528226163,-122.2596015816513
022 031100700,445,ATHOL AVE,37.8032320545958,-122.2460866995842
016 142401700,6515,TELEGRAPH AVE,37.85124690301723,-122.26081259391977
015 134100900,996,60TH ST,37.843950243360894,-122.27940870819441
013 110800504,2,WHITMORE PL,37.83313883648422,-122.2521953608044
020 013600100,705,E 15TH ST,37.79464737070145,-122.25124549160051
021 023100900,1811,6TH AVE,37.79790612283829,-122.24922845325581
013 110800501,14,WHITMORE PL,37.83277901427827,-122.25196931192671
014 126607400,5844,COLLEGE AVE,37.84691716909845,-122.25169620191592
030 193306800,3810,MAYBELLE AVE,37.78999541858467,-122.19268835035051
021 022700901,350,HANOVER AVE,37.80262219862473,-122.25018073045484
011 084001000,825,ERIE ST,37.812758598140874,-122.24296237816426
033 218801000,901,35TH AVE,37.77366284055657,-122.22489646524451
027 084101600,2434,FRUITVALE AVE,37.78733758436222,-122.2208961823463
010 078801900,276,ADAMS ST,37.81356503635325,-122.25679004598291
040 340500600,2791,RITCHIE ST,37.764638283947335,-122.16691036789939
020 021701100,926,E 17TH ST,37.794605875227674,-122.24705183754864
021 027401000,1926,6TH AVE,37.79842110996513,-122.24768074597677
009 071603402,619,33RD ST,37.82222184561672,-122.26967248100301
008 063000401,101,17TH ST,37.80365300889073,-122.2616348543173
010 081403400,626,EL DORADO AVE,37.821839985900844,-122.25179114267827
046 548402901,9046,HILLSIDE ST,37.75411548676774,-122.16246443579378
023 039502900,858,E 28TH ST,37.802225490157895,-122.23795490272246
030 192502800,3806,39TH AVE,37.7915255654066,-122.19380765081792
011 083706100,481,WICKSON AVE,37.81183432720042,-122.24628806236454
046 547000500,9309,BANCROFT AVE,37.751584660494885,-122.16473138945508
046 548000804,9031,HILLSIDE ST,37.75401638705039,-122.16313032509713
010 077103400,168,MONTECITO AVE,37.811940237368376,-122.2589436419521
025 072601500,3040,E 19TH ST,37.783125465701666,-122.2236663719752
023 041801100,643,BEACON ST,37.80857024639079,-122.24628389501738
008 064704000,517,22ND ST,37.81091396386753,-122.26983477832911
014 122704203,5248,CLAREMONT AVE,37.83888184240066,-122.26038177504617
003 007300700,1428,CASTRO ST,37.80708960491433,-122.27652745826654
009 071604900,539,33RD ST,37.82168431381892,-122.26769379073659
020 019001200,900,FOOTHILL BLVD,37.794165851306346,-122.2483105115892
010 077000800,240,GRAND AVE,37.810208644268414,-122.25941950113132
012 101004100,466,41ST ST,37.829842137827654,-122.26200651546374
033 211701600,1721,33RD AVE,37.781616779261434,-122.22294718883813
012 100402800,4114,OPAL ST,37.82955458564256,-122.25810380728302
010 082707400,508,VALLE VISTA AVE,37.81443184577028,-122.24690829324642
041 419802500,1215,80TH AVE,37.754966506055005,-122.18493798450405
022 033801803,2268,PARK BLVD,37.80141642452987,-122.24550414112109
015 130103901,994,56TH ST,37.83986381279448,-122.27805502165377
010 081702000,40,MOSS AVE,37.81953435817508,-122.25160298225329
021 023802100,1202,E 18TH ST,37.793302777858365,-122.24401250223629
010 079503600,2654,HARRISON ST,37.8142387645344,-122.25979478141147
022 030901400,323,HANOVER AVE,37.80307888721153,-122.25110802518229
027 086101700,3136,COOLIDGE AVE,37.7933903086715,-122.21303974261026
008 063101100,1438,MADISON ST,37.80196040570083,-122.26334975022988
048A703101000,5317,BROADWAY TER,37.83758015733309,-122.24765898449786
002 008100400,1115,MADISON ST,37.799801133853634,-122.2654133185172
022 034202500,2520,9TH AVE,37.800042145955736,-122.23988358315782
032 203901900,2906,HIGH ST,37.78365020492876,-122.20130762374895
021 029003200,1947,E 22ND ST,37.791464990296845,-122.23470993574465
012 096202600,721,40TH ST,37.82979664258157,-122.27034275343262
020 017600500,645,FOOTHILL BLVD,37.795654078268235,-122.25065924988492
010 078502900,380,EUCLID AVE,37.811801216193025,-122.2515013861155
040 339200200,7709,GARFIELD AVE,37.764261288036835,-122.17344196662532
020 018901300,818,FOOTHILL BLVD,37.79473758293783,-122.24886915104793
023 041301300,442,MERRITT AVE,37.80573185875746,-122.24881094718478
027 087200200,3269,LYNDE ST,37.78895130695111,-122.21489027804829
003 007902600,824,15TH ST,37.80878547451732,-122.27969254986462
016 144401001,1006,62ND ST,37.845836269997974,-122.28009340286579
022 037101700,3112,14TH AVE,37.79908937704063,-122.22872469035504
020 019100104,1021,E 17TH ST,37.793580287510764,-122.2467708307623
020 019100103,1648,10TH AVE,37.79377642214505,-122.2468907985774
020 021800100,811,E 18TH ST,37.79588364976164,-122.24764843871587
010 080800900,407,FAIRMOUNT AVE,37.819396262358765,-122.25669322714761
022 037101600,3104,14TH AVE,37.798977576457794,-122.22887899866
047 558301000,10900,MACARTHUR BLVD,37.741290057790735,-122.14905788607491
025 073403200,2554,E 16TH ST,37.78364155770505,-122.2306643304828
022 033201200,2426,12TH AVE,37.79735505545887,-122.23799934731258
010 080601600,291,FAIRMOUNT AVE,37.817840644044395,-122.25909939120478
023 039401100,1082,E 33RD ST,37.80278859564699,-122.23479579784461
047 557401106,10031,MACARTHUR BLVD,37.745265864463036,-122.15581116340817
010 082301101,377,SANTA CLARA AVE,37.813349745196255,-122.24881071846652
012 093700500,84,YOSEMITE AVE,37.822693766532616,-122.25375860133755
021 022500502,155,ATHOL AVE,37.8012140098566,-122.2528335800099
032 203000300,3020,35TH AVE - East bldg,37.7901824824322,-122.2060173539787
010 077101702,377,LENOX AVE,37.80998849023925,-122.25848489131371
016 143200800,734,ALCATRAZ AVE,37.84960864975152,-122.2668381281225
009 071600200,3231,TELEGRAPH AVE,37.82148596776437,-122.26687308830795
026 074100900,2004,27TH AVE,37.78492471482347,-122.22717075577378
048F735101701,6582,LUCAS AVE,37.825432854202624,-122.20749473279821
038 319903303,2610,62ND AVE,37.770135181940226,-122.1874983229864
021 022000800,632,E 17TH ST,37.79676301336398,-122.24949194151013
010 080703700,3084,RICHMOND BLVD,37.82017627435309,-122.25814858804745
016 144404700,993,63RD ST,37.8463846168914,-122.27985639400545
030 193301700,3720,MAYBELLE AVE,37.78965065714559,-122.19326019682262
022 033101000,1346,E 24TH ST,37.79596737575686,-122.23690143958964
026 076801100,2575,FRUITVALE AVE,37.7891771417433,-122.22093245534512
027 085501700,2926,BROOKDALE AVE,37.79272603128592,-122.21606193912142
014 122500903,5408,TELEGRAPH AVE,37.839449156291835,-122.26156677140744
023 040301900,27,HOME PL E,37.803586735758344,-122.23780645341766
032 203217000,3170,HIGH ST,37.785127589208834,-122.19811627114662
026 074900300,2051,AUSTIN ST,37.78532104506436,-122.22463982306893
027 085302300,2937,BROOKDALE AVE,37.79211164777375,-122.21631101935084
022 033802202,2324,PARK BLVD,37.801495557714716,-122.24457691587423
019 003001400,1106,4TH AVE,37.79505375217478,-122.25625835854322
010 077101101,321,LENOX AVE,37.810775384649,-122.25810572425422
008 066900100,2346,VALDEZ ST,37.8128979725851,-122.26364963153742
040A341601702,7021,LACEY AVE,37.770767487590035,-122.17308766881085
012 098801301,791,KINGSTON AVE,37.824722395757256,-122.24867666709308
032 203009100,3141,38TH AVE,37.788037752218756,-122.20237856349875
023 041300900,420,MERRITT AVE,37.80524793114366,-122.2490255893349
008 062900701,1565,MADISON ST,37.80373713360481,-122.26312395212851
023 041802101,688,BEACON ST,37.80871808372503,-122.24537818674285
020 013100400,1435,3RD AVE,37.79782615492396,-122.25518475715485
021 022201200,420,E 17TH ST,37.79836866478603,-122.25130645960165
020 018400100,1636,3RD AVE,37.7987810036367,-122.25297007419331
040A341001000,7717,NEY AVE,37.767429492912584,-122.1679081262421
020 016300100,1905,FOOTHILL BLVD,37.78785084130786,-122.23932047437668
026 078404700,2436,25TH AVE,37.78948586576225,-122.22557642719384
048A705000500,5606,TAFT AVE,37.84367342205397,-122.24710523750937
046 548000813,2345,92ND AVE,37.753733936183146,-122.16333736124788
010 078505000,274,EUCLID AVE,37.814871922109944,-122.25286025074863
035 240200604,1718,HIGH ST,37.77404213165393,-122.21212166677023
020 012902700,1400,LAKESHORE AVE,37.79931465847163,-122.25756158075572
012 101101100,450,40TH ST,37.82906787243356,-122.2621086224677
023 038900900,1022,E 28TH ST,37.80062208793678,-122.23694663019745
048C720000500,395,SOMERSET RD,37.8195716100291,-122.2097273350185
033 213503900,1831,38TH AVE,37.77814622231678,-122.21800610425309
014 126301000,5425,COLLEGE AVE,37.8407117127689,-122.25164393323075
010 078302201,366,STATEN AVE,37.81167288593281,-122.25374607764964
023 041401500,2244,LAKESHORE AVE,37.80601118074188,-122.24979218012038
012 101205201,529,41ST ST,37.82989933584779,-122.26538086202883
025 073100600,1723,28TH AVE,37.78288570182418,-122.2276709987388
016 140800300,320,62ND ST,37.84960152477735,-122.2530373745698
010 079000203,433,ADAMS ST,37.81623560982071,-122.25305593499715
012 098701900,67,GLEN AVE,37.824940205687355,-122.25108143677436
003 005900500,1705,M L KING JR WAY,37.808571578624196,-122.27476542659544
023 038800400,1131,BELLA VISTA AVE,37.799945474963486,-122.23546839258695
003 003500100,787,22ND ST,37.81249653374134,-122.27606490208984
030 192501100,3664,39TH AVE,37.7899946640878,-122.19565362037825
027 085501200,3016,BROOKDALE AVE,37.792378397703374,-122.21531584690848
022 031000100,601,BROOKLYN AVE,37.80453186373352,-122.24906287505092
012 097301700,432,38TH ST,37.82694579980713,-122.2615765768381
019 002801704,250,E 11TH ST,37.796418001414104,-122.25733025941678
010 078502302,520,VAN BUREN AVE,37.811712824662116,-122.250984751016
010 077501600,450,LEE ST,37.809650149648945,-122.2566288777489
038 322301602,5600,BANCROFT AVE,37.771629993979076,-122.19572444183176
010 078301400,399,BELLEVUE AVE,37.81069556930615,-122.25284797454
016 144205200,1021,62ND ST,37.8451324119711,-122.28059630613471
020 017601800,1536,6TH AVE,37.7959158556461,-122.25132698475493
012 094504001,441,W MACARTHUR BLVD,37.82539420800409,-122.26335768323311
025 071600700,1534,29TH AVE,37.780342152411656,-122.22740743868249
025 073301401,1755,28TH AVE,37.783390156581696,-122.22704009510471
021 026800405,2011,10TH AVE,37.796384126994894,-122.24408895668347
014 125600402,5420,CLAREMONT AVE,37.84130357730644,-122.25825186247992
027 085603500,3026,NICOL AVE,37.79315327459631,-122.21445264597035
026 076500400,2317,FRUITVALE AVE,37.7858835594953,-122.22213621127274
027 086901101,3150,BROOKDALE AVE,37.79149788661858,-122.21334652090415
020 015901102,1511,23RD AVE,37.78460597850546,-122.23512131182687
014 121701100,611,51ST ST,37.83659399749646,-122.26439619096844
005 040902000,1829,MYRTLE ST,37.811943023185385,-122.28104440748646
008 064700200,2101,TELEGRAPH AVE,37.81064149754884,-122.26974831269847
046 544800403,1820,96TH AVE,37.74785083580495,-122.16640972482185
010 082900104,201,SANTA ROSA AVE,37.81863973970334,-122.24947262026492
021 025002101,2421,E 21ST ST,37.78705564048321,-122.2294500349107
020 012700700,1227,3RD AVE,37.797084547077496,-122.25630607269369
010 081500304,641,OAKLAND AVE,37.820931705838795,-122.25065600157298
021 022402505,160,ATHOL AVE,37.80073862781148,-122.25279707011317
025 071100202,2539,E 16TH ST,37.78302480405232,-122.23164447497247
025 071100201,2531,E 16TH ST,37.783114757181686,-122.23179520530287
022 033801300,2303,IVY DR,37.80124838257922,-122.2443400171875
008 062703500,1560,ALICE ST,37.80455109991585,-122.26470382911124
020 018700300,647,E 17TH ST,37.79631037588901,-122.24986735491065
010 077601900,381,BELMONT ST,37.80950825168979,-122.25465708293423
010 077701201,420,PERKINS ST,37.810012321310296,-122.25534798333662
024 051900701,3922,CANON AVE,37.803460195644014,-122.21711514156195
010 082000500,499,CHETWOOD ST,37.817260799830024,-122.2507566530445
045 525601803,10778,PIPPIN ST,37.73308094356344,-122.17340004518623
022 030500100,2232,IVY DR,37.800755272681855,-122.24501715687126
008 062900100,1570,JACKSON ST,37.804322523407336,-122.26333731555684
045 525601802,10786,PIPPIN ST,37.732959126872146,-122.17326032396582
001 021700900,803,M L KING JR WAY,37.802339127707405,-122.27863727415756
012 098801900,144,MONTE CRESTA AVE,37.82423935571783,-122.24961961170402
023 041901300,515,MERRITT AVE,37.80734167600991,-122.24791778915743
033 212902400,1630,35TH AVE,37.77943415108728,-122.22048256628058
046 547501715,9636,BANCROFT AVE,37.749498468857425,-122.16206202367322
046 547501714,9640,BANCROFT AVE,37.74938002044104,-122.16197452360986
005 047302200,3201,ADELINE ST,37.82396644942922,-122.28124188060569
048 560002900,9222,MACARTHUR BLVD,37.754401379292545,-122.16057285070077
010 079500803,220,ORANGE ST,37.81516677414473,-122.25740040672004
010 079500802,305,VERNON ST,37.814951058031724,-122.25721000234701
040 333600800,2515,76TH AVE,37.76495174882877,-122.17470754379859
013 115001902,4770,TELEGRAPH AVE,37.83449812885885,-122.26267218197218
012 098702000,69,GLEN AVE,37.82517733959941,-122.25084894462883
016 140902101,335,ALCATRAZ AVE,37.85078915922594,-122.25389376983216
012 096000101,3924,LUSK ST,37.830051444206624,-122.27195357292452
012 099200100,78,GLEN AVE,37.825653004413,-122.25101198862232
022 030803101,269,HANOVER AVE,37.802785665926095,-122.25267412483554
009 074001300,984,34TH ST,37.8253592508504,-122.27712024815861
022 036903400,2040,E 30TH ST,37.79749674528124,-122.22751043663774
012 100001700,336,40TH ST,37.82820618031214,-122.25743880577248
023 043203301,765,MACARTHUR BLVD,37.80693576936767,-122.24172822403874
033 219201500,3300,SAN LEANDRO ST,37.77505473664488,-122.22579635355669
008 067801600,700,25TH ST,37.81541965984591,-122.27349525375708
016 139103800,475,ALCATRAZ AVE,37.85005719458298,-122.25973822919833
033 213605400,1501,38TH AVE,37.775851536153134,-122.2194908095966
032 208201900,4230,CARRINGTON ST,37.777076310962144,-122.20970393236088
004 008300500,941,CENTER ST,37.808016182643755,-122.29432587727536
010 079101501,389,VERNON ST,37.81636282074711,-122.25471266897159
004 006101501,1212,CENTER ST,37.80971319756349,-122.29295869725159
001 022800300,801,10TH ST,37.80497422091381,-122.28080485491208
020 017801500,414,E 15TH ST,37.79705746076288,-122.2532796705157
022 030800800,427,WAYNE AVE,37.80380652233215,-122.25202616786044
021 022700800,346,HANOVER AVE,37.802580967078235,-122.25044017956351
011 084001100,817,ERIE ST,37.81265510458156,-122.24307613486155
022 033800300,2501,7TH AVE,37.80172727778756,-122.24239595858812
030 192900502,3701,MAYBELLE AVE,37.789963290809176,-122.19445576703336
030 192900501,3705,MAYBELLE AVE,37.79005531109173,-122.1943273351581
046 543601000,9635,PLYMOUTH ST,37.74669087382941,-122.16824036521307
026 077700200,2673,GRANDE VISTA AVE,37.79297252839298,-122.22591505274582
021 027401100,1932,6TH AVE,37.79853084435958,-122.2475263338827
010 077001600,140,MONTECITO AVE,37.811488560048666,-122.25948430047144
002 008301000,170,10TH ST,37.799223978788646,-122.266131218941
020 021700400,1739,10TH AVE,37.79472408781307,-122.24650502269323
030 192000300,3743,39TH AVE,37.79119438640407,-122.19559266212543
027 084203202,2500,FRUITVALE AVE,37.787685124355605,-122.22091971603557
010 081402100,550,FAIRMOUNT AVE,37.82159119725973,-122.25419081619535
023 039502800,878,E 28TH ST,37.801959944452804,-122.23802174815998
005 037801902,1410,MAGNOLIA ST,37.810083376658945,-122.28686406840738
021 022702401,351,LESTER AVE,37.8022897521783,-122.24990892691658
001 016900500,61,8TH ST,37.79643759003549,-122.26488634055313
039 326500100,2696,HAVENSCOURT BLVD,37.768671369135916,-122.18240260030078
010 079401700,243,ORANGE ST,37.81596261377252,-122.25711999814656
010 082200900,472,JEAN ST,37.814655095997644,-122.2501017447931
010 079603001,300,VERNON ST,37.81453449420021,-122.25686909897964
022 035301601,1810,E 25TH ST,37.7953179915682,-122.23417838126849
022 035301602,1836,E 25TH ST,37.79517603103952,-122.23390089034723
032 206701400,2626,OCTAVIA ST,37.78759983168272,-122.20907992577217
047 549801700,10401,BANCROFT AVE,37.74262625079715,-122.15801978921957
011 083706000,718,WALKER AVE,37.8119298650308,-122.24640620643216
046 547000401,9201,BANCROFT AVE,37.75234710567284,-122.1652513518827
009 069900504,2945,MCCLURE ST,37.818944484016946,-122.26641015879255
010 077800700,429,BELLEVUE AVE,37.80954325451978,-122.25296121908923
022 030600600,2155,PARK BLVD,37.80125322691864,-122.24734386632112
012 096100200,839,40TH ST,37.830113479666025,-122.27234577161502
037A275504400,3419,69TH AVE,37.77159252374801,-122.17459402249301
005 043202800,2526,MYRTLE ST,37.817313641061965,-122.27843828763085
015 133700901,6015,HERZOG ST,37.84345523521943,-122.28262735017333
020 018800701,1605,8TH AVE,37.79522221765885,-122.24949969109046
015 133700903,6025,HERZOG ST,37.84370662710271,-122.28277004162275
023 041801200,637,BEACON ST,37.80849511222762,-122.24645167246173
022 034002200,2538,IVY DR,37.80139490934283,-122.24118703617371
010 083402500,340,ALTA VISTA AVE,37.816669786061944,-122.24803110326457
040A341103800,7700,NEY AVE,37.76808094100555,-122.16751055080452
012 099600100,293,41ST ST,37.828183168880244,-122.25589747355603
015 137301900,570,58TH ST,37.84394238740928,-122.26372253484239
038 317706401,2523,MASON ST,37.77236933944372,-122.19227703787112
020 017500600,1537,8TH AVE,37.79479244799456,-122.25013752468894
010 078201201,378,VAN BUREN AVE,37.81083522517824,-122.25434443789474
